 \.\.\. and ([,0-9]+) more.	 ... その他$1件
Change the font used to display HTTP messages	HTTPメッセージの表示に使用するフォントを変更
Changes will take effect when Burp is restarted.	変更は再起動後に反映されます。
character (.) is too common at position ([0-9]+) \\(count: ([0-9]+), probability in a random sample: ([0-9.]+)%\\)	文字位置$2で文字$1の数が多すぎます (回数: $3, ランダムサンプル中の確率: $4%)
character (.) is too common at position ([0-9]+) \\(count: ([0-9]+), probability in a random sample: less than 0.0001%\\)	文字位置$2で文字$1の数が多すぎます (回数: $3, ランダムサンプル中の確率: 0.0001%未満)
character (.) is too rare at position ([0-9]+) \\(count: ([0-9]+), probability in a random sample: ([0-9.]+)%\\)	文字位置$2で文字$1の数が少なすぎます (回数: $3, ランダムサンプル中の確率: $4%)
character (.) is too rare at position ([0-9]+) \\(count: ([0-9]+), probability in a random sample: less than 0.0001%\\)	文字位置$2で文字$1の数が少なすぎます (回数: $3, ランダムサンプル中の確率: 0.0001%未満)
Character blocks	文字ブロック
Character Count Analysis - Significance Levels	文字数解析 - 有意水準
Character frobber	文字フロバー
Character set(:?)	文字セット$1
Character Sets?	文字セット
Character substitutions?	文字置換
Character Transition Analysis - Significance Levels	文字遷移解析 - 有意水準
Character-level analysis	文字レベル解析
characters	文字
Check for updates	更新チェック
Check robots.txt	robots.txtをチェックする
Check session is valid	セッションの有効性をチェックする
Checking for available installers	利用可能なインストーラーをチェック中
Checking for updates	更新を確認中
chi-square value is too high at bit ([0-9]+) \\(chi-square: ([,0-9.]+), probability in a random sample: ([0-9.]+)%\\)	ビット$1のカイ二乗値が高すぎます (カイ二乗: $2, ランダムサンプル中の確率: $3%)
chi-square value is too high at bit ([0-9]+) \\(chi-square: ([,0-9.]+), probability in a random sample: less than 0.0001%\\)	ビット$1のカイ二乗値が高すぎます (カイ二乗: $2, ランダムサンプル中の確率: 0.0001%未満)
chi-square value is too low at bit ([0-9]+) \\(chi-square: ([,0-9.]+), probability in a random sample: ([0-9.]+)%\\)	bit $1 のカイ二乗値が低すぎます (カイ二乗: $2, ランダムサンプルの確率: $3%)
chi-square value is too low at bit ([0-9]+) \\(chi-square: ([,0-9.]+), probability in a random sample: less than 0.0001%\\)	bit $1 のカイ二乗値が低すぎます (カイ二乗: $2, ランダムサンプルの確率: 0.0001%未満)
Choose a file to export the CA certificate.	CA証明書をエクスポートするファイルを選択してください。
Choose a file to export the certificate and private key, and a password to use for the keystore. 	証明書と秘密鍵をエクスポートするファイルを選択し、キーストアに設定するパスワードを入力してください。
Choose a file to export the private key. 	秘密鍵をエクスポートするファイルを選択してください。 
Choose a file to paste from	貼り付け元のファイルを選択してください
Choose a file to save the configuration to	設定を保存するファイルを選択してください
Choose a file to save to	保存するファイルを選択してください
Choose a log file	ログファイルを選択してください
Choose a PKCS#12 file	PKCS#12ファイルを選択してください
Choose a preset scheme	定義済み形式を選択
Choose an attack to open	オープンする攻撃を選択してください
Choose an empty directory to save responses to	レスポンスを保存する空のディレクトリを選択してください。
Choose file...	ファイル選択...
Choose folder ...	フォルダ選択 ...
Choose the folder where temporary files will be saved	一時ファイルが保存されるフォルダを選択
Choose the format for the report.	レポートのフォーマットを選択してください。
Choose the PKCS#11 library file	PKCS#11ライブラリファイルを選択してください
Choose this option if you plan to load the state file later and continue testing, or pass it on to someone else who will take over your testing. You should be aware that if any testing is continued using multiple instances of Burp, then some Collaborator-based issues may be missed or incorrectly reported.	後でこのステートファイルを読み込んでテストを継続するか、テストを引き継ぐ他の誰かに渡す場合、このオプションを選択してください。複数のBurpインスタンスでテストを継続する場合、Collaboratorベースの問題を見逃す、または誤って報告されるかもしれません。
Choose this option if you plan to pass the state file on to someone else, but you do not want them to be able to receive details of any ongoing Burp Collaborator interactions that are associated with your testing. Any new scanning that is performed by the other user will use a different unique identifier, to avoid any interference with other instances of Burp.	ステートファイルを他人に渡す予定があり、しかしテストに関連づけらたCollaboratorとの通信の詳細を継続的に受信させたくない場合に、このオプションを選択してください。他のユーザによって実装される新規スキャンは、Burpの他のインスタンスとの競合を避けるため、異なる一意な識別子を使用します。
Choose which tools you want to restore the configuration of.	設定をリストアするツールを選択してください。
Choose which tools you want to restore the state of.	ステートをリストアするツールを選択してください。
Choose which tools you want to save the configuration of.	設定を保存するツールを選択してください。
Choose which tools you want to save the state of. Note that it is not necessary to save the Spider state. The Spider request queues will be automatically rebuilt based on a restored target site map and scope configuration.	ステートに保存するツールを選択してください。Spiderのステートを保存する必要がない点に注意してください。Spiderのリクエストキューは、リストアしたターゲットのサイトマップやスコープ設定から自動的に再構築されます。
Choosing this option means that your instance of Burp will not receive details of any ongoing Burp Collaborator interactions that were associated with the project. Any new scanning that you perform will use a different unique identifier, to avoid any interference with other instances of Burp.	このオプションを選択すると、プロジェクトに関連づけられている進行中のBurp Collaboratorとの通信の詳細を、このBurpインスタンスが受信しないことになります。実行する新たなスキャンでは異なる一意な識別子を使用し、他のBurpインスタンスとの干渉を避けます。
Choosing this option means that your instance of Burp will receive details of any ongoing Burp Collaborator interactions that are associated with the project. If any other instance of Burp is also receiving interaction details for the same project, then some Collaborator-based issues may be missed or incorrectly reported.	このオプションを選択すると、プロジェクトに関連づけられている進行中のBurp Collaboratorとの通信の詳細を、このBurpインスタンスが受信することになります。他のBurpインスタンスも同じプロジェクトの通信詳細を受信していると、Collaboratorベースの問題を見逃す、または誤って報告されるかもしれません。
Cipher	暗号
Clean Burp from computer	コンピュータからBurpを削除
Clear §	§クリア
Clear all items and separators from all positions	すべてのポジションからアイテムとセパレータをクリア
Clear all payload markers	すべてのペイロードマーカをクリア
Clear all text and payload markers	すべてのテキストとペイロードマーカをクリア
Clear all	すべてクリア
Clear histories	履歴クリア
Clear history	履歴クリア
Clear queues	キューをクリア
Clear the contents of the viewer	ビューアのコンテンツをクリア
Clear	クリア
Cleartext submission of password(\\s+\\[[0-9]+\\])?	パスワードの平文送信$1
Click the stars to rate the '(.*)' BApp	$1 BAppの評価に星をクリックしてください
Click to modify	クリックして編集
Client SSL certificate \\(PKCS#12\\)	クライアントSSL証明書 (PKCS#12)
Client SSL Certificates?	クライアントSSL証明書
Client-side JSON injection \\(DOM-based\\)(\\s+\\[[0-9]+\\])?	クライアントサイドJSONインジェクション(DOMベース)$1
Client-side JSON injection \\(reflected DOM-based\\)(\\s+\\[[0-9]+\\])?	クライアントサイドJSONインジェクション (反射型DOMベース)$1
Client-side JSON injection \\(stored DOM-based\\)(\\s+\\[[0-9]+\\])?	クライアントサイドJSONインジェクション (蓄積型DOMベース)$1
Client-side SQL injection \\(DOM-based\\)(\\s+\\[[0-9]+\\])?	クライアントサイドSQLインジェクション (DOMベース)$1
Client-side SQL injection \\(reflected DOM-based\\)(\\s+\\[[0-9]+\\])?	クライアントサイドSQLインジェクション (反射型DOMベース)$1
Client-side SQL injection \\(stored DOM-based\\)(\\s+\\[[0-9]+\\])?	クライアンサイドSQLインジェクション (蓄積型DOMベース)$1
Client-side template injection(\\s+\\[[0-9]+\\])?	クライアントサイドテンプレートインジェクション$1
Client-side XPath injection \\(DOM-based\\)(\\s+\\[[0-9]+\\])?	クライアントサイドXPathインジェクション (DOMベース)$1
Client-side XPath injection \\(reflected DOM-based\\)(\\s+\\[[0-9]+\\])?	クライアントサイドXPathインジェクション (反射型DOMベース)$1
Client-side XPath injection \\(stored DOM-based\\)(\\s+\\[[0-9]+\\])?	クライアントサイドXPathインジェクション (蓄積型DOMベース)$1
Close	閉じる
Cluster bomb	クラスター爆弾(Cluster bomb)
Collaborator (.*) interaction	Collaboratorとの$1通信
Collapse branch	ブランチを折りたたむ
Columns	列
Comment this item	このアイテムにコメント
Comments search \\| (https?://.*)	コメント検索 | $1
Comments?(:?)	コメント$1
Compare ...	比較 ...
Compare responses	レスポンス比較
Compare site maps?	サイトマップ比較
Compression	圧縮
Computing differences	差分を計算中
Concatenate to single file	１ファイルに連結
Condition	条件
Confidence	信頼度
Config	設定
Configuration File Error	設定ファイルエラー
Configure hotkeys	ホットキーの変更
Configure how cookies and request parameters are handled for this macro item.	このマクロアイテムでのcookieやリクエストパラメータの処理方法を設定します。
Configure item	アイテム設定
Configure Macro Item	マクロアイテム設定
Configure Macro Item: ([A-Z]+) request to (https?://.*)	マクロアイテム設定: $2 への $1 リクエスト
Configure predefined payload lists	定義済みペイロードリストを編集
Configure target details	対象の詳細を設定
Configure the details of the custom parameter location. You need to specify the name that is used for this parameter in subsequent macro requests, and the location within this response from which the parameter's value should be derived.	カスタムパラメータ位置の詳細を設定します。このパラメータを後続のマクロリクエストで使用する際の名前と、パラメータ値として取り出すレスポンス内の位置を指定する必要があります。
Configure the details of the target for the attack.	攻撃対象の詳細を設定してください。
Configure the location of the items that Burp Intruder should use for its predefined payload lists.	Burp Intruderが使用する定義済みペイロードリストの場所を設定してください
Configure the positions where payloads will be inserted into the base request. The attack type determines the way in which payloads are assigned to payload positions - see help for full details.	ペイロードがベースリクエストに挿入される位置を設定します。攻撃タイプは、ペイロードがペイロードポジションに割り当てられる方法を指定します。 - 詳細はヘルプを参照してください。
Configure the selected item	選択したアイテムを設定
Configure the settings for the custom token location	トークン位置のカスタム設定
Configure the sources Burp should use for generating filenames to test.	ファイル名のテストを生成する元を設定します。
Configure	設定
Confirm	確認
Connections	接続
Construct string in JavaScript	JavaScriptの文字列生成
Construct string in Microsoft SQL Server	Microsoft SQL Serverの文字列生成
Construct string in MySQL	MySQLの文字列生成
Construct string in Oracle	Oracleの文字列生成
Construct string	文字列生成
Contacting License Server	ライセンスサーバに接続中
Contains parameters	パラメータを含む
Content discovery: (https?://.*)	コンテンツ探索: $1
Content type header	コンテントタイプヘッダ
Content type incorrectly stated(\\s+\\[[0-9]+\\])?	誤ったコンテントタイプ$1
Content type is not specified(\\s+\\[[0-9]+\\])?	コンテントタイプが指定されていない$1
Contents	コンテンツ
Continue indefinitely	無限に繰り返す
Continue	次へ
Control	コントロール
Convert HTTPS links to HTTP	HTTPSリンクをHTTPに変換する
Convert selection	選択箇所を変換
Convert to JavaScript constructed string	JavaScript構文の文字列に変換
Convert to Microsoft SQL Server constructed string	Microsoft SQLサーバ構文の文字列に変換
Convert to MySQL constructed string	MySQL構文の文字列に変換
Convert to Oracle constructed string	Oracle構文の文字列に変換
Cookie handling	cookie処理
Cookie jar viewer	cookie jarビューア
Cookie manipulation \\(DOM-based\\)(\\s+\\[[0-9]+\\])?	Cookie操作 (DOMベース)$1
Cookie manipulation \\(reflected DOM-based\\)(\\s+\\[[0-9]+\\])?	Cookie操作 (反射型DOMベース)$1
Cookie manipulation \\(stored DOM-based\\)(\\s+\\[[0-9]+\\])?	Cookie操作 (蓄積型DOMベース)$1
Cookie name	cookie名
Cookie parameter values	Cookieのパラメータ値
Cookie scoped to parent domain(\\s+\\[[0-9]+\\])?	親ドメインスコープのcookie$1
Cookie to body	cookieからボディ
Cookie to URL	cookieからURL
Cookie value	cookie値
Cookie without HttpOnly flag set(\\s+\\[[0-9]+\\])?	HttpOnlyフラグがセットされていないcookie$1
Cookie:	cookie:
Cookies received	受信cookie
Cookies	cookie
Copy ...	コピー ...
Copy as curl command	curlコマンドをコピー
Copy attack config	攻撃設定をコピー
Copy Burp's built-in payload lists to the selected directory	Burpの組み込みペイロードリストを選択したディレクトリにコピー
Copy Clickbandit to clipboard	Clickbanditをクリップボードにコピー
Copy configuration from first tab	最初のタブから設定をコピー
Copy configuration from last tab	最後のタブから設定をコピー
Copy content from suite site map	サイトマップからコンテンツをコピー
Copy details	詳細をコピー
Copy from position:	コピー元ポジション:
Copy HTML	HTMLをコピー
Copy links in selected items	選択したアイテムのリンクをコピー
Copy links in selection	選択したリンクをコピー
Copy links in this branch	このブランチのリンクをコピー
Copy links in this host	このホストをリンクをコピー
Copy links?	リンクをコピー
Copy other payload	他ペイロードコピー
Copy project	プロジェクトコピー
Copy request	リクエストをコピー
Copy selected URLs	選択したURLをコピー
Copy to clipboard	クリップボードにコピー
Copy to file	ファイルにコピー
Copy tokens	トークンをコピー
Copy URL	URLコピー
Copy URLs in this branch	このブランチのURLをコピー
Copy URLs in this host	このホストをURLをコピー
Copy URLs?	URLをコピー
Copy	コピー
Correlation	相関
Could not load configuration from (.*)	設定を $1 から読み込めません
Could not obtain lock on file: (.*)	ファイルのロックを取得できませんでした: $1
Count	数
Crawler Settings	クローラ設定
Create a new rule	新規ルールを作成
Credit card numbers disclosed(\\s+\\[[0-9]+\\])?	クレジットカード番号漏洩$1
Cross-domain POST(\\s+\\[[0-9]+\\])?	クロスドメインのPOST$1
Cross-domain Referer leakage(\\s+\\[[0-9]+\\])?	クロスドメインのReferer漏洩$1
Cross-domain script include(\\s+\\[[0-9]+\\])?	クロスドメインのスクリプト読み込み$1
Cross-domain XHR (modern browsers only)	クロスドメインXHR(モダンなブラウザのみ)
Cross-site request forgery(\\s+\\[[0-9]+\\])?	クロスサイトリクエストフォージェリ$1
Cross-site scripting \\(DOM-based\\)(\\s+\\[[0-9]+\\])?	クロスサイトスクリプティング(DOMベース)$1
Cross-site scripting \\(reflected DOM-based\\)(\\s+\\[[0-9]+\\])?	クロスサイトスクリプティング(DOMベース反射型)$1
Cross-site scripting \\(reflected\\)(\\s+\\[[0-9]+\\])?	クロスサイトスクリプティング(反射型)$1
Cross-site scripting \\(stored DOM-based\\)(\\s+\\[[0-9]+\\])?	クロスサイトスクリプティング (蓄積型DOMベース)$1
Cross-site scripting \\(stored\\)(\\s+\\[[0-9]+\\])?	クロスサイトスクリプティング(蓄積型)$1
CSRF PoC generator	CSRF PoCジェネレータ
CSRF technique:	CSRFテクニック:
Current Action	現在のアクション
Custom directory list:	カスタムディレクトリリスト:
Custom file list:	カスタムファイルリスト:
Custom iterator	カスタムイテレータ
Custom location:	カスタム位置:
Custom parameter locations in response	レスポンス内のカスタムパラメータ位置
Custom:	カスタム:
Cut	切り取り
Data	データ
Database connection string disclosed(\\s+\\[[0-9]+\\])?	データベース接続文字列漏洩$1
Dates	日付
Day rate:	日給:
Days	日
Debug ID:	デバッグID:
December	12月
Decode as ...	デコード ...
Decode as ASCII hex	ASCII16進数としてデコード
Default to this option in future	次回以降このオプションをデフォルトにする
Define behavior dependent on session validity:	セッション有効性に依存する動作の定義:
Define Custom Parameter	カスタムパラメータ定義
Define custom token location	トークン位置のカスタム定義
Define extract grep from response	レスポンスから抽出grepを定義
Define extract grep item	抽出grepアイテムの定義
Define start and end	開始と終了を定義
Define the in-scope targets for your current work. This configuration affects the behavior of tools throughout the suite. All fields take regex strings. The easiest way to configure scope is to browse to your target and use the context menus in the site map to include or exclude URL paths.	現在の作業でスコープ内とするターゲットを定義します。この設定はツール全体の動作に影響を与えます。すべてのフィールドは正規表現で指定します。ターゲットをブラウザで参照し、サイトマップのコンテキストメニューでURLパスを含めるまたは除外すると、スコープ設定が簡単です。
Define the location of the item to be extracted. Selecting the item in the response panel will create a suitable configuration automatically. You can also modify the configuration manually to ensure it works effectively.	抽出するアイテムの場所を定義します。レスポンスパネルでアイテムを選択すると、適切な設定が自動的に作成されます。効果的に動作するよう手動で設定を変更もできます。
Define the location of the parameter value. Selecting the item in the response panel will create a suitable configuration automatically. You can also modify the configuration manually to ensure it works effectively.	パラメータ値の位置を定義します。レスポンスパネルでアイテムを選択すると、適切な設定が自動的に作成されます。効果的に動作するよう手動で設定を変更もできます。
Define the location of the token within the response. Selecting the item in the response panel will create a suitable configuration automatically. You can also modify the configuration manually to ensure it works effectively.	レスポンス内のトークンの場所を定義します。レスポンスパネルでアイテムを選択すると、適切な設定が自動的に作成されます。効果的に動作するよう手動で設定を変更もできます。
Define the start directory for the content discovery session, and whether files or directories should be targeted.	コンテンツ探索セッションを開始するディレクトリと、対象となるファイルやディレクトリを定義します。
Delete branch	ブランチを削除
Delete byte	バイト削除
Delete bytes ...	複数バイト削除 ...
Delete cells	セルの削除
Delete host	ホストを削除
Delete issues for selected branches	選択したブランチの問題を削除
Delete issues for this branch	このブランチの問題を削除
Delete issues for this host	このホストの問題を削除
Delete issues?	問題を削除
Delete item	アイテムを削除
Delete old temporary files\\?	古い一時ファイルを削除してよろしいですか？
Delete selected issues	選択した問題を削除
Delete selected items	選択したアイテムを削除
Delete	削除
Deleted directory: (.*)	ディレクトリを削除: $1
Deleting Burp executable.	Burp実行プログラムを削除中。
Deleting Burp license key.	ライセンスキーを削除中。
Deleting license key.	ライセンスキーを削除中。
Deleting saved preferences.	保存した設定を削除中。
Deleting temporary files.	一時ファイルを削除中。
Delimiter:	区切り文字:
Denial of service \\(DOM-based\\)(\\s+\\[[0-9]+\\])?	サービス妨害 (DOMベース)$1
Denial of service \\(reflected DOM-based\\)(\\s+\\[[0-9]+\\])?	サービス妨害 (反射型DOMベース)$1
Denial of service \\(stored DOM-based\\)(\\s+\\[[0-9]+\\])?	サービス妨害 (蓄積型DOMベース)$1
Derivations based on discovered items	検出したアイテムに基づいて派生
Derived parameters	派生パラメータ
Description(:?)	詳細$1
Destination host is not valid	宛先ホストが不正です
Destination host(:?)	宛先ホスト$1
Destination host, may include wildcards	宛先ホスト, ワイルドカードが使えます
Detach (.*)	$1を切り離し
Details?	詳細
Detect custom "not found" responses	カスタマイズされた"Not Found"レスポンスを検知する
Diagnostics	診断
Direction	方向
Directories - long	ディレクトリ - 長
Directories - short	ディレクトリ - 短
Directories / files . extensions	ディレクトリ/ファイル.拡張子
Directories only	ディレクトリのみ
Directory listing(\\s+\\[[0-9]+\\])?	ディレクトリリスティング$1
Disable Java SNI extension \\(requires restart\\)	Java SNI拡張を無効にする(要再起動)
Disable web interface at http://burp	http://burp のWebインタフェースを無効にする
Discover content	コンテンツ探索
Discover:	探索:
Discovered PKCS#11 library files are shown below. Select the library file for your device and click "Next".	検出したPKCS#11ライブラリファイルが以下に表示されます。デバイスのライブラリファイルを選択し、"次へ"をクリックしてください。
Discovery Engine	探索エンジン
Discovery Session Status	探索セッションのステータス
Display as raw bytes	生バイトとして表示する
Display	表示
Do a passive scan	パッシブスキャン実行
Do an active scan	アクティブスキャン実行
Do DNS lookups over SOCKS proxy	SOCKSプロキシ上でDNS検索をする
Do illegal hex	不正な16進数表記
Do illegal UTF-8	不正なUTF-8
Do intercept	インターセプト有効
Do not include Burp Collaborator identifier in the state file	Burp Collaboratorの識別子をステートファイルに含めない
Do not include requests	リクエストを含めない
Do not include responses	レスポンスを含めない
Do not save	保存しない
Do not take full ownership of the project	プロジェクトの完全な所有権を取得しない
Do nothing	何もしない
Do platform authentication	プラットフォーム認証を行う
Document domain manipulation \\(DOM-based\\)(\\s+\\[[0-9]+\\])?	ドキュメントドメイン操作 (DOMベース)$1
Document domain manipulation \\(reflected DOM-based\\)(\\s+\\[[0-9]+\\])?	ドキュメントドメイン操作 (反射型DOMベース)$1
Document domain manipulation \\(stored DOM-based\\)(\\s+\\[[0-9]+\\])?	ドキュメントドメイン操作 (蓄積型DOMベース)$1
Does not contain parameters	パラメータを含まない
Does not match	一致しない
Doing bit compression test	ビット圧縮テスト実行中
Doing bit correlation test	ビット相関テスト実行中
Doing bit correlation test: bit ([0-9]+)	ビット相関テスト実行中: ビット$1
Doing character set tests	文字セットのテスト実行中
Doing character set tests: position ([0-9]+)	文字セットのテスト実行中:　$1文字目
Doing FIPS long run test	FIPS 最長連検定実行中
Doing FIPS monobit test	FIPS 1次元度数検定実行中
Doing FIPS poker test	FIPS ポーカ検定実行中
Doing FIPS runs test	FIPS 連検定実行中
Doing spectral tests	スペクトルテスト実行中
Doing spectral tests: bit ([0-9]+)	スペクトルテスト実行中: ビット$1
DOM data manipulation \\(DOM-based\\)(\\s+\\[[0-9]+\\])?	DOMデータ操作 (DOMベース)$1
DOM data manipulation \\(reflected DOM-based\\)(\\s+\\[[0-9]+\\])?	DOMデータ操作 (反射型DOMベース)$1
DOM data manipulation \\(stored DOM-based\\)(\\s+\\[[0-9]+\\])?	DOMデータ操作 (蓄積型DOMベース)$1
Domain hostname(:?)	ドメインホスト名$1
Domain name resolution:	ドメイン名解決:
Domain name	ドメイン名
Domain(:?)	ドメイン$1
Done	完了
Don't ask again for this server	このサーバは再度確認しない
Don't intercept requests	インターセプトしないリクエスト
Don't intercept responses	レスポンスをインターセプトしない
Don't perform static code analysis	静的コード解析を実行しない
Don't restore	リストアしない
Don't scan	スキャンしない
Don't send items to Proxy history or other Burp tools	Proxy履歴や他のBurpツールにアイテムを送信しない
Don't send items to Proxy history or other Burp tools, if out of scope		スコープ外の場合、Proxy履歴や他のBurpツールにアイテムを送信しない
Don't submit forms	フォームを送信しない
Don't submit login forms	ログインフォームを送信しない
Don't use Burp Collaborator	Burp Collaboratorを使用しない
Down	下へ
Download (JRuby|Jython)	$1をダウンロード
Download failed.	ダウンロードできませんでした。
Download other installers	他のインストーラをダウンロード
Download	ダウンロード
Downloading update	更新をダウンロード中
Downloading( \\([0-9]+%\\))?	ダウンロード中$1
Drop all out-of-scope requests	スコープ外のすべてのリクエストを破棄する
Drop	破棄
Duplicate cookies set(\\s+\\[[0-9]+\\])?	重複cookie$1
Duplicate hotkeys are configured	ホットキー設定が重複しています
Duplicate the selected item	選択したアイテムを複製
Duplicate the selected macro	選択したマクロを複製
Duplicate the selected rule	選択したルールを複製
Duplicate	複製
Dynamic update	動的に更新
Dynamic URLs	動的URL
Each Burp project has a unique identifier that is used to track any Burp Collaborator interactions that are associated with the project. You need to decide whether to save this identifier in your state file.	プロジェクトに紐付くBurp Collaboratorとの通信を識別するための一意な識別子を、各Burpプロジェクトは持っています。この識別子をステートファイルに保存するか決定する必要があります。
Each installation of Burp generates its own CA certificate that Proxy listeners can use when negotiating SSL connections. You can import or export this certificate for use in other tools or another installation of Burp.	Burpをインストールするごとに独自のCA証明書を生成し、プロキシリスナーがSSL接続を確立する際に使用します。この証明書はインポートやエクスポートができ、他のツールや他のマシンにインストールしたBurpで使用できます。
ECB block shuffler	ECBブロックシャッフル
Edit "skip parameter" rule	"スキップパラメータ"ルールを編集
Edit cookie	cookie編集
Edit form field completion rule	フォームフィールド補完ルールを編集
Edit hostname resolution rule	ホスト名解決ルールを編集
Edit hotkeys	ホットキー編集
Edit list	リスト編集
Edit match/replace rule	検索/置換ルールを編集
Edit payload processing rule	ペイロード処理ルールを編集
Edit platform authentication credentials	プラットフォーム認証のクレデンシャルを編集
Edit proxy listener	プロキシリスナーを編集
Edit request header	リクエストヘッダ編集
Edit request interception rule	リクエストインターセプトルールを編集
Edit response interception rule	レスポンスインターセプトルールを編集
Edit SSL passthrough target	SSLパススルーする対象を編集
Edit streaming URL	ストリーミングURLを編集
Edit target	対象を編集
Edit the selected cookie	選択したcookieを編集する
Edit the selected custom parameter location	カスタムパラメータ位置を編集
Edit the selected header	選択したヘッダを編集
Edit the selected item	選択したアイテムを編集
Edit the selected listener	選択したリスナーを編集
Edit the selected macro	選択したマクロを編集
Edit the selected parameter	選択したパラメータを編集
Edit the selected rule	選択したルールを編集
Edit the selected task	選択したタスクを編集
Edit URL to exclude from scope	スコープから除外するURLを編集
Edit URL to include in scope	スコープに含めるURLを編集
Edit	編集
Edited message	編集後メッセージ
Edited request	編集後リクエスト
Edited response	編集後レスポンス
Edited	編集済
Effective Entropy	効果のあるエントロピー
Email addresses disclosed(\\s+\\[[0-9]+\\])?	メールアドレス漏洩$1
Embed images within HTML \\(requires modern browser\\)	HTML内への画像埋め込み (モダンなブラウザが必要)
Empty cookie jar	cookie jarを空に
Enable algorithms blocked by Java security policy \\(requires restart\\)	Javaセキュリティポリシーでブロックされたアルゴリズムを有効にする(要再起動)
Enable disabled form fields	無効化(disabled)されたフォームフィールドを有効化する
Enable interception at startup:	起動時にインターセプトを有効:
Enabled	有効
Encode as ...	エンコード ...
Encode as ASCII hex	ASCII16進数としてエンコード
Encode	エンコード
Encoded as ASCII hex	ASCII 16進数エンコード
Encrypted data to shuffle:	シャッフルする暗号データ:
End at delimiter:	この区切りで終了:
End at fixed length:	固定長で終了:
End time	終了時間
End	末尾
Engagement tools \\[Pro version only\\]	関連ツール [プロ版のみ]
Engagement tools	関連ツール
Enter a comment	コメント入力
Enter a new item	新規アイテムを入力
Enter license key	ライセンスキーを入力してください
Enter master password	マスターパスワードを入力してください
Enter number of cells to delete	削除するセル数を入力してください
Enter number of cells to insert	挿入するセル数を入力してください
Enter regex or leave blank	正規表現で入力、または空白のまま
Enter regex, IP range or leave blank	正規表現かIPレンジを入力、または空白のまま
Enter the details of the parameter.	パラメータの詳細を入力してください。
Enter the details of the payload processing rule.	ペイロード処理ルールの詳細を入力してください。
Enter the details of the upstream proxy rule. You can use wildcards to specify destination hosts \\(\\* matches zero or more characters, \\? matches any character except a dot\\). Leave the proxy host blank to connect directly for the specified destination host.	上位プロキシの詳細を入力してください。宛先ホストの指定にワイルドカード(*は０文字以上の文字、?はドット以外の任意の文字にマッチ)を使用できます。指定したホストに直接接続させるには、プロキシホストを空白のままにしてください。
Enter the details of when the task should run. The task can be scheduled to run once at a specific time, or to repeat at a defined interval.	タスクスケジュールを実行する詳細時間を入力してください。タスクは、指定した時間に１度だけ実行するか、指定した間隔で繰り返し実行できます。
Enter the full string to be submitted as the custom request header.	カスタムリクエストヘッダとして送信するすべての文字列を入力してください。
Enter the hostname and IP address. Burp will use this setting instead of the DNS resolution provided by your computer.	ホスト名とIPアドレスを入力してください。コンピュータによるDNS名前解決の代わりにこの設定を使います。
Enter the master password that was used to encrypt stored passwords.	パスワードの暗号化に使用したマスターパスワードを入力してください。
Enter the master password to encrypt stored passwords. A strong password is recommended.	パスワードストアを暗号化するマスターパスワードを入力してください。強固なパスワードを推奨します。
Enter the PIN code for your hardware token or smart card.	ハードウェアトークンやスマートカードのPINコードを入力してください。
Enter the platform credentials for the specified destination host.	宛先ホストのプラットフォームクレデンシャルを入力してください。
Entire body \\(for relevant content types\\)	ボディ全体(関連するコンテントタイプの場合)
Error	エラー
Error-based	エラーベース
Errors(:?)	エラー$1
Errors:	エラー:
Estimated encodings:	予想エンコード数:
Event detail	イベント詳細
Events	イベント
Exact	完全一致
Examples?(:?)	例$1
Exclude from scope	スコープから除外
Exclude HTTP headers	HTTPヘッダを除外する
Exit	終了
Expand branch	ブランチを展開
Expand requested items	リクエストしたアイテムを展開
Expires	有効期限
Export comments	コメントをエクスポート
Export Options	エクスポートオプション
Export scripts	スクリプトをエクスポート
Export	エクスポート
Expression Language injection(\\s+\\[[0-9]+\\])?	式言語インジェクション$1
Expression	正規表現
Extension action handler:	アクションハンドラ拡張:
Extension Details	拡張の詳細
Extension file \\(\\.(jar|py|rb)\\):	拡張ファイル(.$1):
Extension file:	拡張ファイル:
Extension generated issue(\\s+\\[[0-9]+\\])?	拡張で作成された問題$1
Extension loaded	拡張読み込み済み
Extension payload generator:	拡張ペイロードジェネレータ:
Extension type:	拡張タイプ:
Extension	拡張子
Extension-generated	拡張による生成
Extensions - long	拡張子 - 長
Extensions - short	拡張子 - 短
Extensions let you customize Burp's behavior using your own or third-party code.	自分自身または第三者のコードでBurpの機能をカスタマイズできます。
Extensions	拡張
External / out-of-band interaction	外部/範囲外の操作
External service interaction \\(DNS\\)(\\s+\\[[0-9]+\\])?	外部サービスとの通信 (DNS)$1
External service interaction \\(HTTP\\)(\\s+\\[[0-9]+\\])?	外部サービスとの通信 (HTTP)$1
Extract from regex group	正規表現グループから抽出
Extract the following items from responses:	レスポンスから以下のアイテムを抽出する:
Extracted value is URL-encoded	抽出した値はURLエンコードされている
Failed domain name resolution:	名前解決失敗時の再試行:
Failed parameters	失敗パラメータ
Failed to check for updates. Please log in to your account at https://portswigger.net to check for updates.	アップデートをチェックできません。あなたのアカウントで https://portswigger.net にログインしアップデートをチェックしてください。
Failed to connect to (.*:[0-9]+)	$1へ接続できません
Failed to create Burp project:(.*)	Burpプロジェクトを作成できません:$1
