(.*)[Hh]iding ([2-5]xx) responses(.*)	$1 $2レスポンス非表示$3
Input returned in response \\(reflected\\)	レスポンスに含まれる入力値(反射型)
Input returned in response \\(stored\\)	レスポンスに含まれる入力値(蓄積型)
In-scope only	スコープ内のみ
Insensitive	大文字小文字を無視
Insert byte(.*)	バイト挿入$1
Insert string(.*)	文字列挿入$1
Insertion point	挿入ポイント
Insertion points	挿入ポイント
Inspect response to determine session validity:	セッションの有効性判断にレスポンスを検証:
Install	インストール
Installed	インストール済み
Intercept Client Requests	クライアントリクエストのインターセプト
Intercept client-to-server messages	クライアントからサーバへのメッセージをインターセプト
Intercept is off	インターセプト無効
Intercept is on	インターセプト有効
Intercept requests based on the following rules:	次のルールに基づいてリクエストをインターセプトする:
Intercept responses based on the following rules:	次のルールに基づいてレスポンスをインターセプトする:
Intercept Server Responses	サーバレスポンスのインターセプト
Intercept server-to-client messages	サーバからクライアントへのメッセージをインターセプト
Intercept WebSockets Messages	WebSocketメッセージのインターセプト
Intercept	インターセプト
Interface	インタフェース
Intruder Attack Configuration	Intruder攻撃設定
Invalid date	不正な日付
Invalid from value	不正なFrom値
Invalid host specification	不正なホストが指定されました
Invalid length	不正なLength値
Invalid port:	不正なポート:
Invalid regex	不正な正規表現
Invalid session	セッション無効
Invalid URL	不正なURL
Invalid value	不正な値
Invisible proxy support allows non-proxy-aware clients to connect directly to the listener.	透過プロキシをサポートすると、プロキシ非対応のクライアントが直接リスナーに接続できます。
Invisible	透過
Invoke a Burp extension	Burp拡張を呼び出す
IP address	IPアドレス
IP address:	IPアドレス:
Issue [Dd]efinitions	問題定義
Issue activity	問題点
Issue current request	現在のリクエストを発行
Issue type	問題タイプ
Issues help	問題ビューのヘルプ
Issues	問題
Item	アイテム
Items( \\([0-9]+\\))?	アイテム$1
Iterate all values of submit fields - max submissions per form:	送信フィールドの全ての値を列挙 - フォームごとの最高送信数:
Java Environment	Java環境
Java SSL Options	Java SSL オプション
JavaScript injection \\(stored DOM-based\\)	クロスサイトスクリプティング(DOMベース蓄積型)
JavaScript-driven	JavaScript駆動
LDAP injection	LDAPインジェクション
Leave	残す
Left/right split	左右に分割
Length	長さ
Length: ([0-9]+)	長さ: $1
License	ライセンス
Link depth to associate with Proxy requests:	Proxyリクエストに関連づけるリンクの深さ:
Links	リンク
Linux installer	Linuxインストーラ
List items for position ([0-9]+)( \\([0-9]+\\))?	ポジション$1のリストアイテム$2
Listener port	リスナーポート
Literal string to replace - leave blank to remove a matched header	置換する文字列 - 一致したヘッダを削除する場合は空白のまま
Literal string	リテラル文字列
Literal value	表記通り
Live Active Scanning	ライブアクティブスキャン
Live Capture Options	ライブキャプチャオプション
Live capture	ライブキャプチャ
Live Passive Scanning	ライブパッシブスキャン
Live scanning	ライブスキャン
Load ...	読み込み
Load attack config	攻撃設定を読み込み
Load custom lists from directory:	ディレクトリからカスタムリストを読み込む:
Load from configuration file	ファイルから設定を読み込む
Load options	オプション読み込み
Load project options	プロジェクトオプション保存
Load user options	ユーザオプション読み込み
Load	読み込み
Loaded	読み込み済み
Location of JRuby JAR file:	JRubyのJARファイルの場所:
Location of Jython standalone JAR file:	JythonのスタンドアロンJARファイルの場所:
Location\\(s\\):	場所:
Locations	場所
Logging	ロギング
Longest:	最長
Look and feel:	ルックアンドフィール:
Look for expression:	検索表現:
Loopbak only	ループバックのみ
Mac OS installer	Mac OSインストーラ
Macro description:	マクロ詳細:
Macro Editor	マクロエディタ
Macros	マクロ
Make a non-parameterized request to each dynamic page	各動的ページにパラメータなしのリクエストを送る
Make request\\(s\\) to validate session:	セッションを検証するリクエスト:
Make unmodified baseline request	変更されていないベースリクエストを生成する
Manual [Ll]oad	手動読み込み
Manual install ...	手動インストール
Manually select library:	ライブラリを選択する:
Master interception is turned off     	マスターインターセプションがオフになっています     
Match / replace in list items	リストアイテムの検索と置換
Match against pre-URL-encoded payloads	URLエンコード前のペイロードとマッチする
Match and Replace	検索と置換
Match character:	検索文字:
Match condition:	検索条件:
Match indicates:	一致時の判断:
Match regex:	検索正規表現:
Match relationship:	検索状態:
Match type	対象
Match type:	検索対象:
Match	一致条件
Match:	検索:
Max depth:	最大深度:
Max fraction digits:	最長少数部長:
Max integer digits:	最長整数部長:
Max length:	最長:
Maximize permutations in multi-byte encodings	マルチバイト文字の組み合わせ最大化
Maximum analysis time per item \\(seconds\\):	アイテムあたりの最大解析時間(秒):
Maximum capture length:	抽出する最大長:
Maximum insertion points per base request:	ベースリクエストごとの最大挿入ポイント数:
Maximum length:	最大長:
Maximum link depth:	リンクの最大の深さ:
Maximum parameterized requests per URL:	URLごとのパラメター付きリクエストの最大数:
Maximum payloads per item:	アイテムごとのペイロード数:
Message editor help	メッセージエディタヘルプ
Message	メッセージ
Meta refresh tag	Meta refreshタグ
Method	メソッド
MIME type	MIMEタイプ
Min fraction digits:	最短少数部長:
Min integer digits:	最短整数部長:
Min length:	最短:
minutes	分後
Misc	その他
Miscellaneous	その他
Modified value:	操作値:
Monitor the following tools' traffic to update the cookie jar:	次のツールを監視してcookie jarを更新する:
MSSQL-specific checks	MSSQL固有チェック
Multiple content types specified( \\[[0-9]+\\])?	複数のコンテントタイプ指定$1
MySQL-specific checks	MySQL固有チェック
Name(:?)	名前$1
Negative match	一致しないものを検索
Negative search	一致しないものを検索
Nested insertion points are used when an insertion point's base value contains data in a recognized format \\(for example, XML data within a URL parameter\\):	挿入ポイントの元値が認識可能な形式(例えば、URLパラメータ内のXMLデータなど)の場合、ネストした挿入ポイントが使用されます。:
Never	行わない
New project on disk	新規ディスクプロジェクト
New tab behavior	新規タブの動作
Next	次へ
No change	変更なし
no protocol: (.*)	プロトコルがありません: $1
No proxy listeners are currently running - go to the Options tab to enable a listener	プロキシリスナーが起動していません - オプションタブでリスナーを有効化してください。
No	いいえ
Normal:	標準:
Note that the request currently being processed by this session handling rule will still be issued, so the macro should not include this request unless it is necessary to issue it twice.	このセッションハンドリングルールに現在処理されているリクエストは発行されるままなので、２つ発行する必要がなければ、マクロにこのリクエストを含めるべきではありません。
Note: Disk-based projects are only supported on Burp Suite Professional.	注: ディスクベースプロジェクトはBurp Suiteプロフェッショナル版でのみサポートされています。
Note: It is not recommended to restore configuration from a state file that originated from an untrusted source.	注: 信頼できない提供元から受け取ったステートファイルから、設定のリストアは推奨しません。
Note: Some of these options are not available in the Free Edition of Burp.	一部のオプションはBurp Free版では無効です。
Note: these settings can be overridden for individual projects within project options.	注: これらの設定はプロジェクトオプション内の個別のプロジェクトで上書きできます。
Note: you should not delete these files if another instance of Burp is currently running.	注: Burpの他のインスタンスが現在起動している場合はこれらのファイルを消さないでください。
Note: you should not disclose the private key for your CA certificate to any untrusted party. 	注: 信頼できない相手にCA証明書の秘密鍵を開示すべきではありません。 
Number format	数値フォーマット
Number of retries on network failure:	ネットワークエラー時のリトライ回数:
Number of threads:	スレッド数:
Number range	数値範囲
On:	日付
On-site only	同じサイトのみ
Open existing project	既存のプロジェクトを開く
Open redirection \\(DOM-based\\)( \\[[0-9]+\\])?	オープンリダイレクト(DOMベース)$1
Open redirection	オープンリダイレクト
Open saved attack	保存した攻撃を開く
Open sessions tracer	セッショントレーサーを開く
Open-ended responses:	開始からレスポンスが終了するまで:
Operate on:	処理対象:
Operator	動作
Options	オプション
Oracle-specific checks	Oracle固有チェック
OS command injection	OSコマンドインジェクション
Other binary	その他バイナリ
Other text	その他テキスト
Out-of-Scope Requests	スコープ外のリクエスト
Output to system console	システムコンソールに出力
Output	出力
Overlong UTF-8 encodings	冗長なUTF-8エンコード
Override user options	ユーザオプションを上書き
Pad short tokens at:	短いトークンをパディング:
Pad with \\(single character or 2-digit ASCII hex code\\):	パディング文字(1文字または2桁のASCII16進数コード)
Parameter name must be specified	パラメータ名を指定する必要があります
Parameter name	パラメータ名
Parameter Scope	パラメータスコープ
Parameters?(:?)	パラメータ$1
Params	パラメータ
Pass back to the invoking tool:	起動しているツールに渡す:
Passive Scanning Areas	パッシブスキャン対象
Passive spidering monitors traffic through Burp Proxy to update the site map without making any new requests.	パッシブスパイダリングはBurp Proxyを経由するトラフィックを監視し、新たなリクエストを生成せずサイトマップを更新します。
Passive Spidering	パッシブスパイダリング
Passively scan selected items	選択したアイテムをパッシブスキャン
Passively scan this host	このホストをパッシブスキャン
Passively spider as you browse	ブラウザからのアクセスをパッシブスパイダリングする
Password field with autocomplete enabled( \\[[0-9]+\\])?	オートコンプリートが有効なパスワードフィールド$1
Password is required	パスワードが必要です
Password(:?)	パスワード$1
Passwords within configuration options:	設定内のパスワード:
Passwords	パスワード
Paste from file	ファイルから貼り付け
Paste URL as request	URLをリクエストとして貼り付け
Paste URL	URL貼り付け
Paste	貼り付け
Path(:?)	パス$1
Path-relative style sheet import( \\[[0-9]+\\])?	相対パスのスタイルシート読み込み$1
Pause active scanning	アクティブスキャンを停止
Pause before retry \\(milliseconds\\):	リトライ前の一時停止(ミリ秒):
Pause Scanner	Scannerを停止
Pause Spider and Scanner	SpiderとScannerを中断
Pause spidering	自動巡回停止
Paused	一時停止
Payload [sS]et:	ペイロードセット:
Payload count:	ペイロード数:
Payload Encoding	ペイロードのエンコーディング
Payload Options \\[Bit flipper\\]	ペイロードオプション[ビットフリッパー]
Payload Options \\[Brute forcer\\]	ペイロードオプション[ブルートフォース]
Payload Options \\[Case modification\\]	ペイロードオプション[大文字小文字変換]
Payload Options \\[Character blocks\\]	ペイロードオプション[文字ブロック]
Payload Options \\[Character frobber\\]	ペイロードオプション[文字フロバー]
Payload Options \\[Character substitution\\]	ペイロードオプション[文字置換]
Payload Options \\[Copy other payload\\]	ペイロードオプション[他ペイロードコピー]
Payload Options \\[Custom iterator\\]	ペイロードオプション[カスタムイテレータ]
Payload Options \\[Dates\\]	ペイロードオプション[日付]
Payload Options \\[ECB block shuffler\\]	ペイロードオプション[ECBブロックシャッフル]
Payload Options \\[Extension-generated\\]	ペイロードオプション[拡張による生成]
Payload Options \\[Illegal Unicode\\]	ペイロードオプション[不正なUnicode]
Payload Options \\[Null payloads\\]	ペイロードオプション[ペイロードなし]
Payload Options \\[Numbers\\]	ペイロードオプション[数値]
Payload Options \\[Recursive grep\\]	ペイロードオプション[再帰検索]
Payload Options \\[Runtime file\\]	ペイロードオプション[実行時ファイル]
Payload Options \\[Simple list\\]	ペイロードオプション[単純リスト]
Payload Options \\[Username generator\\]	ペイロードオプション[ユーザ名生成]
Payload Options	ペイロードオプション
Payload Positions	ペイロードポジション
Payload Processing	ペイロード処理中
Payload type:	ペイロードタイプ:
Payloads	ペイロード
payloads	個ペイロード生成する
Performance Feedback	パフォーマンスフィードバック
Per-host	ホストごと
Perl code injection	Perlコードインジェクション
PHP code injection	PHPコードインジェクション
Place attacks into the following locations within requests:	リクエスト内の次の場所に攻撃を配置します:
Plain JAR file	JAR ファイル
Platform Authentication	プラットフォーム認証
Please enter a config file	設定ファイルを入力してください
Please enter the details of the extension, and how you would like to handle standard output and error.	拡張の詳細と、標準出力とエラーの処理方法を入力してください。
Please enter the URL you would like to scan from. Note that this task will perform active scanning on the specified URL and on all items beneath it in its branch of the site map.	スキャンを開始するURLを入力してください。ここで指定したURLの、全てのサイトマップ上のブランチに対してアクティブスキャンが実行されることに注意してください。
Please enter the URL you would like to spider from.	自動巡回を開始するURLを入力してください。
Please enter your new license key.	新規ライセンスキーを入力してください。
Please select a directory	ディレクトリを選択してください
Please select a project file	プロジェクトファイルを選択してください
Please select a rule type	ルールタイプを選択してください
Please select the file for the repaired project		修復するプロジェクトのファイルを選択してください。
Please select the folder for loading library JAR files	ライブラリのJARファイルを読み込むフォルダを選択してください
Please select the folder for loading modules	モジュールを読み込むフォルダを選択してください
Please select the JRuby JAR file	JRubyのJARファイルを選択してください
Please select the Jython standalone JAR file	JythonのスタンドアロンJARファイルを選択してください
Please supply a prefix	プレフィックスを指定してください
Please supply a regex	正規表現を指定してください
Please supply a suffix	サフィックスを指定してください
Please wait ...	しばらくお待ちください ...
Poll over unencrypted HTTP	暗号化されていないHTTPでポーリングする
Polling location \\(optional\\):	ポーリング場所(オプション):
Port(:?)	ポート$1
Position:	位置:
Positions	ポジション
Predefined Payload Lists	定義済みペイロードリスト
Preset schemes:	定義済み形式:
Private key in DER format	DER形式の秘密鍵
Process cookies in redirections	リダイレクト中にcookieを処理する
Project options	プロジェクトオプション
Prominently highlight unhidden fields	再表示フィールドを強調表示
Prompt for credentials on platform authentication failure	プラットフォーム認証失敗時にクレデンシャルのプロンプトを表示する
Prompt for guidance	ガイダンスを表示する
Prompt for in-browser session recovery	ブラウザ内セッション復元のプロンプトを出す
Protocol(:?)	プロトコル$1
Proxy \\(use with caution\\)	Proxy(使用注意)
Proxy history help	Proxy履歴ヘルプ
Proxy host(:?)	プロキシホスト$1
Proxy host, leave blank to connect directly	プロキシホスト, 直接接続する場合は空白のま
Proxy interception help	Proxyインターセプトヘルプ
Proxy Interception	プロキシインターセプト
Proxy Listeners	プロキシリスナー
Proxy port(:?)	プロキシポート$1
Python code injection	Pythonコードインジェクション
Python Environment	Python環境
Queued Tasks	キューされたタスク
Random	ランダム
Rating	レーティング
Ready	準備完了
Recognize automatically based on message headers	メッセージヘッダーから自動的に認識
Recurse subdirectories	サブディレクトリを再帰的に探索
Redirect to host:	リダイレクト先ホスト:
Redirect to port:	リダイレクト先ポート:
Redirect	リダイレクト
Redirections	リダイレクト
Reflected DOM issues	反射型DOMの問題
Reflected XSS	反射型XSS
Refresh header	Refreshヘッダ
Refresh list	リスト再読み込み
Refresh	リフレッシュ
Refreshing...	読み込み中...
Regenerate CA certificate	CA証明書再生成
Regex condition to match - leave blank to add a new header	検索する正規表現 - 新規ヘッダを追加する場合は空白のまま
Regex match	正規表現
Regex	正規表現
Regular expression	正規表現
Relationship	状態
Release notes	リリースノート
Release notes(:?)   	リリースノート$1   
Remove <object> tags	<object>タグを除去
Remove 100 Continue headers	100 Continueヘッダを削除する
Remove all JavaScript	全てのJavaScriptを除去
Remove duplicate comments	重複したコメントを削除
Remove duplicates	重複を削除
Remove dupulicate comments	重複したコメントを除去
Remove from scope	スコープから削除
Remove input field length limits	入力フィールドの長さ制限を除去
Remove item	アイテムを削除
Remove JavaScript form validation	JavaScriptによるフォームバリデーションを除去
Remove secure flag from cookies	cookieのsecureフラグを除去
Remove	削除
Rename project	プロジェクト名前変更
Repairing project, please wait ...	プロジェクトを修復しています、しばらくお待ちください ...
Repeat every:	指定間隔で繰り返し:
Repeat	繰り返し
Replace base parameter value	元パラメータ値を置換
Replace current state	現在のステートを置き換える
Replace with encodings of:	エンコードして置換する文字:
Replace with:	置換:
Replace	変更値
Replace:	置換:
Report bug	バグ報告
Report issue	問題をレポート
Report issues for selected branches	選択したブランチの問題をレポート
Report issues for this branch	このブランチの問題をレポート
Report issues for this host	このホストの問題をレポート
Report selected issues	選択した問題をレポート
Request body	リクエストボディ
Request count:	リクエスト数
Request Engine	リクエストエンジン
Request handling	リクエストハンドリング
Request headers	リクエストヘッダ
Request Headers	リクエストヘッダ
Request in browser	ブラウザでリクエスト
Request the root of all directories	全てのディレクトリのルートにリクエストする
Request to (.*)	リクエスト $1
Request	リクエスト
Requests made:	生成されたリクエスト:
Requests queued:	キューに入っているリクエスト:
Requests	リクエスト
requests	リクエストごとのみ検証する
Response body	レスポンスボディ
Response from (.*)	レスポンス $1
Response headers	レスポンスヘッダ
Response Modification	レスポンス修正
Response to this request	このリクエストのレスポンス
Responses queued for analysis:	解析用にキューされたレスポンス:
Responses?	レスポンス
Restore completed	リストア完了
Restore defaults	デフォルトに戻す
Restore original value	オリジナルに戻す
Restore setting from when Burp was last closed	前回終了時の状態を復元
Restore state	ステート復元
Restoring: ([0-9]+)% complete	リストア中: $1%完了
Restrict to requests containing these parameters:	これらのパラメータを含むリクエストに制限する:
Resume active scanning	アクティブスキャンを再開
Resume spidering	自動巡回再開
Ruby code injection	Rubyコードインジェクション
Ruby Environment	Ruby環境
Rule Actions	ルールアクション
Rule Description	ルール詳細
Rule	ルール
Run a macro	マクロを実行する
Run a post-request macro	リクエスト前マクロを実行する
Run health check ...	ヘルスチェック実行 ...
Run macro:	マクロを実行:
Running	起動中
Sample	サンプル
Save attack config	攻撃設定を保存
Save completed	保存完了
Save encrypted using master password(:?)	マスターパスワードで暗号化して保存$1
Save entire history	エントリー履歴を保存
Save in clear text	平文で保存
Save in-scope items only	スコープ内のアイテムのみ保存
Save interface files	インタフェースファイルを保存
Save items?	アイテムを保存
Save Javadoc files	Javadocファイルを保存
Save options	オプション保存
Save project options	プロジェクトオプション保存
Save selected items	選択したアイテムを保存
Save state	ステート保存
Save to file(:?)	ファイルに保存$1
Save user options	ユーザオプション保存
Saving: ([0-9]+)% complete	保存中: $1%完了
Scan accuracy:	スキャン精度:
Scan again	再度スキャン
Scan everything	全てスキャンする
Scan from a URL	URLからスキャン
Scan queue help	スキャンキューヘルプ
Scan queue	スキャンキュー
Scan speed:	スキャン速度:
Schedule task	タスクをスケジュール
Scheduled Tasks	スケジュールタスク
Scope	スコープ
Search completed	検索終了
Search responses for payload strings	ペイロード文字列のレスポンスを探す
Search	検索
Searching:(.*)	検索中:$1
Select all	全て選択
Select bits to flip:	反転するビットを選択:
Select directory ...	ディレクトリ選択 ...
Select file ...	ファイル選択 ...
Select folder ...	フォルダ選択 ...
Select font	フォントを選択してください
Select generator ...	ジェネレータ選択 ...
Select item ([0-9]+):	選択アイテム$1
Select license key file ...	ライセンスキーファイルを選択 ...
Select Live Capture Request	ライブキャプチャリクエスト選択
Select macro:	マクロを選択:
Select none	選択を解除
Select processor:	拡張選択:
Select the "extract grep" item from which to derive payloads:	ペイロードを取得する"抽出grep"アイテムをを選択してください:
Select the configuration that you would like to load for this project.	このプロジェクトに読み込む設定を選択してください。
Select the file containing the CA certificate to import.	インポートするCA証明書を含むファイルを選択してください。
Select the file containing the keystore to import, and the password for the keystore.	インポートするキーストアを含むファイルを選択し、キーストアのパスワードを入力してください。
Select the file containing the private key to import.	インポートする秘密鍵を含むファイルを選択してください。
Select the file containing your PKCS#12 certificate, and enter the password for the certificate.	PKCS#12証明書を含むファイルを選択し、その証明書のパスワードを入力してください。
Select the folder where the download will be saved.	ダウンロードしたファイルを保存するフォルダを選択してください。
Select the input file from which Burp's state will be loaded.	Burpのステートを読み込むファイルを選択してください。
Select the location in the response where the token appears.	レスポンスのトークンが現れる箇所を選択してください。
Select the output file to which Burp's state will be saved.	Burpのステートファイルを保存する出力ファイルを選択してください。
Select the tools that this rule will be applied to.	ルールを適用するツールを選択してください。
Select the type of task you want to run.	実行したいタスクのタイプを選択してください。
Selected file is a Burp state file	選択されたファイルはBurpのステートファイルです
Selected generator:	選択されたジェネレータ:
Send requests here from other tools to configure a live capture. Select the request to use, configure the other options below, then click "Start live capture".	他のツールからライブキャプチャの設定にリクエストを送ります。使用するリクエストを選択し、その他のオプションを設定し、"ライブキャプチャの開始"をクリックしてください。
Send to Comparer \\(request\\)	Comparerに送信(リクエスト)
Send to Comparer \\(response\\)	Comparerに送信(レスポンス)
Send to Comparer	Comparerに送信
Send to Decoder	Decoderに送信
Send to Intruder	Intruderに送信
Send to Repeater	Repeaterに送信
Send to Sequencer	Sequencerに送信
Send to Spider	Spiderに送信
Sensitive	大文字小文字を区別
Separator for position ([0-9]+)	ポジション$1の区切り文字
Sequential	連番
Server location:	サーバの場所:
Server SSL Certificates	サーバSSL証明書
Server-level issues	サーバレベルの問題
Server-side code injection	サーバ側コードインジェクション
Server-side JavaScript code injection	サーバサイドJavaScriptコードインジェクション
Server-side template injection \\(requires reflected XSS\\)	サーバ側テンプレートインジェクション(反射型XSSが必要)
Server-side template injection	サーバサイドテンプレートインジェクション
Session handling action editor - Rule ([0-9]+)	セッションハンドリングアクションエディタ - ルール$1
Session handling rule editor	セッションハンドリングルールエディタ
Session Handling Rules	セッションハンドリングルール
Session is not running	セッションは実行していません。
Session is running	セッション実行中
Session token in URL( \\[[0-9]+\\])?	URL内のセッショントークン$1
Set "Connection close" on incoming requests	受信リクエストに"Connection close"をセットする
Set a specific cookie or parameter value	指定したcookieやパラメータ値をセットする
Set confidence	信頼度を設定
Set Connection: close	Connection: を close にセットする
Set response header "Connection: close"	レスポンスヘッダに"Connection: close"をセットする
Set severity	危険度を設定
Set unmatched fields to:	一致しないフィールドにセットする値:
Settings	設定
Severity	危険度
Shortest:	最短
Show all	全て表示
Show details	詳細を表示
Show in UI	UI内で表示
Show new history window	新規履歴ウィンドウを表示
Show new site map window	新たなウィンドウでサイトマップを表示
Show only commented items	コメントしたアイテムのみ表示
Show only highlighted items	色付けしたアイテムのみ表示
Show only in-scope items	スコープ内のアイテムのみ表示
Show only parameterized requests	パラメータ付きリクエストのみ表示
Show only requested items	リクエストされたアイテムのみ表示
Show only:	表示:
Show response in browser	レスポンスをブラウザで表示
Showing all items	全てのアイテムを表示
Showing selected items 	選択したアイテムを表示中
Shut down Burp and launch downloaded file	Burpをシャットダウンし、ダウンロードしたファイルを起動する
Simple string	単純な文字列
Simulate manual testing	手動テストをシミュレート
Simulation running	シミュレーション実行
Site map help	サイトマップヘルプ
Site map	サイトマップ
Size	サイズ
Skip all tests for these parameters:	これらのパラメータのテストを全てスキップする:
Skip server-side injection tests for these parameters:	これらのパラメータに対するサーバ側インジェクションテストをスキップする:
SOCKS proxy host:	SOCKSプロキシホスト:
SOCKS proxy port:	SOCKSプロキシポート:
SOCKS Proxy	SOCKSプロキシ
Source	ソース
Specific address:	指定したアドレス:
Specific string:	指定文字列:
Specify a regular expression to match each URL component, or leave blank to match any item. An IP range can be specified instead of a hostname.	各URLに一致する正規表現を指定するか、任意の項目に一致するよう空白のままにしてください。ホスト名の代わりにIPレンジを指定できます。
Specify the details of the interception rule.	インターセプトルールの詳細を指定してください。
Specify the details of the match/replace rule.	検索と置換ルールの詳細を指定してください。
Specify the details of the server to which the request will be sent.	リクエストを送信するサーバの詳細を指定してください。
Specify the host and port details for the target, or leave blank to match any item. An IP range can be specified instead of a hostname.	対象ホストとポートの詳細を指定するか、任意のアイテムにマッチさせるには空白にしてください。ホスト名の代わりにIPレンジを指定できます。
Specify the host\\(s\\) for which the certificate should be used, and the certificate type. You can use wildcards to specify destination hosts \\(\\* matches zero or more characters, \\? matches any character except a dot\\), or leave the field blank to apply to all hosts.	証明書を使用するホストとその証明書タイプを選択してください。宛先ホストの指定にワイルドカード(*は０文字以上の文字、?はドット以外の任意の文字にマッチ)を使用でき、もしくはすべてのホストに適用するには空白のままにしてください。
Specify the location of the PKCS#11 library file for your hardware token or smart card. This is a native code file that is installed with the software for your device \\(for example, a .DLL file on Windows\\).	ハードウェアトークンやスマートカードの、PKCS#11ライブラリファイルの場所を指定してください。デバイス用のソフトウェアと一緒にインストールされたネイティブコードファイル(例えば、Windowsの.DLLファイル)です。
Spectral	スペクトル
Spider Engine	Spiderエンジン
Spider from a URL	URLからSpider実行
Spider from here	ここからSpider実行
Spider is paused	Spider停止中
Spider is running	Spider実行中
Spider requests queued:	キューされた巡回リクエスト:
Spider Scope	Spiderスコープ
Spider selected items	選択したアイテムをSpider実行
Spider Status	Spiderステータス
Spider this host	このホストをSpider実行
SQL injection	SQLインジェクション
SQL injection( \\[[0-9]+\\])?	SQLインジェクション$1
SSI injection	SSIインジェクション
SSL certificate( \\[[0-9]+\\])?	SSL証明書$1
SSL Ciphers	SSL暗号
SSL cookie without secure flag set( \\[[0-9]+\\])?	secureフラグがセットされていないSSL cookie$1
SSL Negotiation Workarounds	SSLネゴシエーションの回避策
SSL Negotiation	SSLネゴシエーション
SSL Pass Through	SSLパススルー
SSL Protocols?	SSLプロトコル
Standard Error	標準エラー
Standard Output	標準出力
Start at:	開始時間
Start attack	攻撃開始
Start Burp	Burpを開始
Start directory:	開始ディレクトリ:
Start live capture	ライブキャプチャ開始
Start time	開始時間
Start time:	開始時間
Start	先頭
Starting project, please wait ...	プロジェクトを開始しています、しばらくお待ちください ...
Static Code Analysis	静的コード解析
Status 100 Responses	Status 100レスポンス
Status	ステータス
step	増分
Step:	増分:
Stop at maximum:	停止する最大数:
Stop if duplicate payload found	重複ペイロード検出時に停止
Store full payloads	全ペイロードの保存
Store requests	リクエストを保存
Store responses	レスポンスを保存
Store streaming responses \\(may result in large temp files\\)	ストリーミングレスポンスを保存(大きな一時ファイルができます)
Stored DOM issues	蓄積型DOMの問題
Stored XSS	蓄積型XSS
Streaming Responses	ストリーミングレスポンス
Strict transport security not enforced	Strict transport securityが有効ではない
Strict transport security not enforced( \\[[0-9]+\\])?	Strict transport securityが適用されていない$1
Strip chunked encoding metadata in streaming responses	ストリーミングレスポンスからチャンクエンコーディングメタデータを除去する
Strip Proxy-\\* headers in incoming requests	受信リクエストから Proxy-* ヘッダを除去する
Submit anonymous feedback about Burp's performance	Burpのパフォーマンスを匿名で送信する
Submit rating	レーティング送信
Success	成功
Suite options	Suiteオプション
Support Center	サポートセンター
Support invisible proxying (enable only if needed)	透過プロキシをサポートする(必要な場合のみ有効にしてください)
Suppress Burp error messages in browser	ブラウザへのBurpエラーメッセージを抑制する
Tabs	タブ
Target Scope	ターゲットスコープ
Target: (http.*)	対象: $1
Target: Not specified	対象: 指定されていません
Task	タスク
Tasks queued:	キューされたタスク:
Temporary Files Location	一時ファイルの場所
Temporary project	一時プロジェクト
Test these extensions:	次の拡張子をテスト:
The actions below will be performed in sequence when this rule is applied to a request.	このルールが順番に実行されリクエストに適用されます。
The BApp Store contains Burp extensions that have been written by users of Burp Suite, to extend Burp's capabilities.	BAppストアには、Burp Suiteユーザによって書かれた拡張があり、Burpの機能を拡張できます。
The certificate was loaded successfully.	証明書を正常に読み込みました。
The certificate was successfully exported.	証明書を正常にエクスポートしました。
The extension is loading.	拡張を読み込み中。
The extension loaded successfully. Any output or error messages generated are shown below.	正常に拡張を読み込みました。生成された出力やエラーは以下に表示されます。
The file you have selected is a Burp state file, not a project file.	選択したファイルは、プロジェクトファイルではなく、Burpのステートファイルです。
The final response from the macro	マクロの最後のレスポンス
The following rules determine whether Burp sends each outgoing request to a proxy server, or directly to the destination web server. The first rule that matches each destination host will be used. To send all traffic to a single proxy server, create a rule with \\* as the destination host.	以下のルールで、外向きリクエストごとに、プロキシサーバへ送信するか、もしくは宛先Wwebサーバに直接送信するかどうか決定します。宛先ホストが最初にマッチしたルールが使用されます。すべてのリクエストを特定のプロキシサーバに送信するには、宛先ホストが * のルールを作成してください。
The options below control the types of analysis that is performed at the bit level.	ビットレベルで実行される分析タイプを制御します。
The options below control the types of analysis that is performed at the character level.	文字レベルで実行される分析タイプを制御します。
The project file was successfully repaired. You can now open the repaired project.	プロジェクトファイルは正常に修復されました。修復したプロジェクトを開けます。
The response from the current request, issued prior to the macro	マクロの前に発行された、現在のリクエストのレスポンス
The rule is not in-scope for any URLs.	このルールは全てのURLでスコープ外です。
The selected project file appears to be corrupt and cannot be opened.	選択したプロジェクトは破損していて開けません。
The supplied license key was not recognized. Please try re-entering your license key.	ライセンス キーを認識できませんでした。。ライセン スキーを再入力してください。
These settings are configured within user options but can be overridden here for this specific project.	これらの設定はユーザオプションで設定できますが、この指定したプロジェクトで上書きできます。
These settings are used to automatically replace parts of requests and responses passing through the Proxy.	Proxyを経由するリクエストとレスポンスの一部を自動的に置換する設定です。
These settings are used to perform automatic modification of responses.	これらの設定はレスポンスの自動変換で使用されます。
These settings are used to specify destination web servers for which Burp will directly pass through SSL connections. No details about requests or responses made via these connections will be available in the Proxy intercept view or history.	SSL接続を直接通過させる宛先Webサーバを指定します。これらの接続のリクエストやレスポンスの詳細はProxyインターセプトや履歴で無効になります。
