    Send    	    送信    
Are you sure you want to restore default proxy history logging options?	Proxy履歴ログ出力オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default proxy interception options?	プロキシインターセプトオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default proxy listeners options?	Proxyリスナーオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default redirections options?	リダイレクトオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default request engine options?	リクエストエンジンオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default request headers options?	リクエストヘッダオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default response modification options?	レスポンス変更オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default rest api options?	REST APIオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default save options options?	オプション保存オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default scan issues options?	スキャン項目オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default scheduled tasks options?	スケジュールタスクオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default server SSL certificates options?	サーバSSL証明書オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default server TLS certificates options?	サーバTLS証明書オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default session handling rules options?	セッションハンドリングルールオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default spider engine options?	Spiderエンジンオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default spider scope options?	Spiderスコープオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default static code analysis options?	静的コード分析オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default status 100 responses options?	ステータス100レスポンスオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default streaming responses options?	ストリーミングレスポンスオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default target scope options?	ターゲットスコープオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default temporary files location options?	一時ファイル場所オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default timeouts options?	タイムアウトオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default token analysis options?	トークン分析オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default token handling options?	トークンハンドリングオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default upstream proxy servers options?	上位プロキシサーバオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default user interface options?	ユーザインタフェースオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default widget options?	ウィジェットオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore defaults for Project options?	プロジェクトオプションのデフォルトに戻してよろしいですか？
Are you sure you want to restore defaults for Proxy?	Proxyのオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore defaults for Repeater?	Repeaterのオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore defaults for Scanner?	Scannerのオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore defaults for Sequencer?	Sequencerのオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore defaults for Spider?	Spiderのオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore defaults for Target?	Targetのオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore defaults for all project options?	すべてのプロジェクトオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore defaults for user options?	ユーザオプションをデフォルトに戻してよろしいですか？
Are you sure you want to retest the macro?	マクロを再テストしてよろしいですか？
Are you sure you want to shut down Burp and launch the downloaded file?	Burpをシャットダウンしダウンロードしたファイルを起動してよろしいですか？
Are you sure you want to shut down Burp and run the new version?	Burpをシャットダウンし新しいバージョンを起動してよろしいですか？
Are you sure you want to stop?	停止してよろしいですか？
Are you sure you want to switch to HTTP/1?	HTTP/1に切り替えてよろしいですか？
Are you sure you want to unload ("[^"]+")\?	$1をアンロードしてよろしいですか？
Ask me what to do each time	毎回確認する
At a significance level of 1%, the amount of effective entropy is estimated to be: ([0-9]+) bits.	1%の有意水準において、有効なエントロピー量の推測は次の通りです: $1 ビット。
At least one URL to scan must be specified.	スキャンするURLを少なくとも1つは指定してください。
At least one item to scan must be specified.	スキャンするアイテムを少なくとも1つは指定してください。
At least one kind of analysis must be selected	少なくとも1種類の分析を選択する必要があります。
At least one protocol must be selected	少なくとも1つのプロトコルを選択する必要があります
Attach	結合
Attack	攻撃
Attack Insertion Points	攻撃挿入ポイント
Attack Results	攻撃結果
Attack Target	攻撃対象
Attack configuration	攻撃設定
Attack saved	攻撃保存完了
Attack type:	攻撃タイプ:
Attack type: 	攻撃タイプ: 
Attack window behavior	攻撃ウィンドウの挙動
Attempt data recovery	データ復元を開始
Attempt to self-register a user	自分自身でユーザ登録を試みるか
Attributes	属性
Audit Optimization	診断の最適化
Audit Project Option Overrides	プロジェクトの診断オプション上書き
Audit accuracy:	診断精度:
Audit again	再診断
Audit checks - passive	診断 - パッシブ
Audit finished.	診断完了.
Audit items	診断項目
Audit items documentation	診断アイテムのドキュメント
Audit selected items	選択したアイテムを診断
Audit speed:	診断スピード:
Auditing	診断
Auditing. ([0-9]+)h ([0-9]+)m estimated time remaining.	診断中。残り約$1時間$2分。
Auditing. ([0-9]+)m estimated time remaining.	診断中。残り約$1分。
Auditing. ([0-9]+)m maximum time remaining.	診断中。残り最大$1分。
Auditing. Estimating time remaining...	診断中. 残り時間見積中...
Auditing. Less than 1m estimated time remaining.	診断中。残り約1分未満。
Auditing\. ([0-9]+)d remaining	診断中, 残り$1日
Auditing\. ([0-9]+)h ([0-9]+)m ([0-9]+)s remaining	診断中, 残り$1時間$2分$3秒
Auditing\. ([0-9]+)h remaining	診断中, 残り$1時間
Auditing\. ([0-9]+)m ([0-9]+)s remaining	診断中, 残り$1分$2秒
Auditing\. ([0-9]+)m remaining	診断中, 残り$1分
Auditing\. ([0-9]+)s remaining	診断中, 残り$1秒
August	8月
Auth type	認証タイプ
Authenticated crawl (random). Estimating time remaining...	認証状態のクロール (ランダム). 残り時間見積中...
Authenticated crawl \((.*)\). Estimating time remaining...	認証状態のクロール ($1). 残り時間見積中...
Authentication Required	認証が必要です
Authentication required	認証が必要です
Authentication type:	認証タイプ:
Author:	作者:
Auto analyze	自動分析
Auto analyze \(next: ([0-9]+)\)	自動分析 (次: $1)
Auto §	自動§
Auto-detect	自動検出
Auto-expanded when there is enough space	十分なスペースがあれば自動で展開する
Auto-modified message	自動変更メッセージ
Auto-modified request	自動変更リクエスト
Auto-modified response	自動変更されたレスポンス
Auto-scroll to match when text changes	テキスト変更時にマッチした箇所に自動スクロール
Auto-select based on request features	リクエストの特徴から自動選択
Automatic BApp updates	自動BAppアップデート
Automatic Project Backup	プロジェクト自動バックアップ
Automatic Project Backup [disk projects only]	プロジェクト自動バックアップ[ディスクプロジェクトのみ]
Automatic backoff	自動バックオフ
Automatic backup	自動バックアップ
Automatic backup ([0-9]+)% complete	自動バックアップ$1%完了
Automatic backup [disk projects only]	自動バックアップ [ディスクプロジェクトのみ]
Automatic backup failed	自動バックアップ失敗
Automatic payload positions	自動ペイロードポジション
Automatic project backup	プロジェクト自動バックアップ
Automatic project backup saves a copy of the Burp project file periodically in the background.	プロジェクト自動バックアップは、バックグラウンドで定期的にBurpプロジェクトファイルのコピーを保存します。
Automatic project backup saves a copy of the Burp project file periodically in the background. Use these settings to configure automatic project backups in Burp	プロジェクト自動バックアップは、バックグラウンドで定期的にBurpプロジェクトファイルのコピーを保存します。Burpのプロジェクト自動バックアップの設定です。
Automatic updates have been disabled because of the way macOS handles renamed applications.	macOSが名前が変更されたアプリケーションを処理する方法のため、自動更新は無効になっています。
Automatically add entries on client SSL negotiation failure	クライアントがSSL接続に失敗したエントリを自動的に追加する
Automatically add entries on client TLS negotiation failure	クライアントがTLS接続に失敗したエントリを自動的に追加する
Automatically back up the project every	自動的なプロジェクトのバックアップ間隔
Automatically fix missing or superfluous new lines at end of request	リクエスト最後の不足または余分な改行を自動補正する
Automatically locate library	ローカルライブラリから自動的に探す
Automatically maintain session (does not apply to audit-only scans)	セッションを自動的に維持する(診断のみのスキャンには適用されない)
Automatically maintain session (only applies to crawl-driven audits)	セッションを自動的に維持する (クロール駆動の診断にのみ適用)
Automatically reload extensions on startup	起動時に拡張を自動的に再読み込みする
Automatically scan the following targets as you browse. Active scan checks send various malicious requests designed to identify common vulnerabilities. Use with caution.	以下の対象をブラウズすると自動的にスキャンを実行します。アクティブスキャンチェックは、さまざまな悪意のあるリクエストを送信し、一般的な脆弱性を発見しようとします。注意して使用してください。
Automatically scan the following targets as you browse. Passive scan checks analyze your existing traffic for evidence of vulnerabilities, and do not send any new requests to the target.	以下の対象をブラウズすると自動的にスキャンを実行します。パッシブスキャンチェックは、既存のトラフィックを脆弱性の証拠として分析し、ターゲットに新しいリクエストは送信しません。
Automatically select compatible SSL parameters on negotiation failure	ネゴシエーション失敗時に互換性のあるSSLパラメータを自動的に選択する
Automatically set a payload at each URL, cookie and body parameter	各URL,cookie,ボディパラメータにペイロードを自動でセット
Automatically start	自動で開始
Automatically start tasks	タスクを自動的に開始
Automatically submit these credentials:	この認証情報を自動送信する:
Automatically submit using the following rules to assign text field values:	次のルールに従ってテキストフィールドの値を自動送信する:
Automatically update Content-Length header when the request is edited	リクエスト編集時にContent-Lengthヘッダを自動的に更新する
Automatically update Content-Length header when the response is edited	レスポンス編集時にContent-Lengthヘッダを自動的に更新する
Automatically update installed BApps on startup	インストールされたBAppを起動時に自動アップデートする
BApp verification failed - the BApp may be unsigned or may have been tampered with.	BAppの検証失敗 - BAppは署名されていないか、改竄されている可能性があります。
Back	戻る
Backup Interval	バックアップ間隔
Backup file	バックアップファイル
Backup file: 	バックアップファイル: 
Balanced	バランス
Base request	元リクエスト
Base response	元レスポンス
Base string:	元文字列:
Base value of payload position	ペイロードポジションの元値
Base value:	元値:
Base64-decode	Base64デコード
Base64-decode before analyzing	分析前にBase64デコード
Base64-encode	Base64エンコード
Base64-encode requests and responses	リクエストとレスポンスをBase64エンコード
Base64-encoded data in parameter(\s+\[[0-9]+\])?	パラメータ内のBase64エンコードされたデータ$1
Base:	ベース:
Battering ram	破城槌(Battering ram)
Battering ram attack, (.*)	破城槌, $1
Billing	課金
Bind to address:	バインドするアドレス:
Bind to port:	バインドするポート:
Binding	バインド
Bit Compression Analysis - Compression Ratios	ビット圧縮分析 - 圧縮率
Bit Compression Analysis - Significance Levels	ビット圧縮分析 - 有意水準
Bit Correlation Analysis - Significance Levels	ビット相関分析 - 有意水準
Bit conversion	ビット変換
Bit flipper	ビットフリッパー
Bit-level analysis	ビットレベル分析
Blind	ブラインド
Block size (usually 8 or 16):	ブロックサイズ(通常8か16):
Body	ボディ
Body Parameters	HTTPボディパラメータ
Body Parameters \(([0-9]+)\)	ボディパラメータ($1)
Body Params	ボディパラメータ
Body encoding:	ボディエンコーディング:
Body parameter	ボディパラメータ
Body parameter values	ボディのパラメータ値
Body to URL	ボディからURL
Body to cookie	ボディからcookie
Boolean condition checks	真偽条件チェック
Boolean conditions	真偽条件
Boolean operator:	動作条件:
Breadth-first hop limit:	幅優先ホップ限界:
Browser cross-site scripting filter disabled(\s+\[[0-9]+\])?	ブラウザXSSフィルタの無効化$1
Browser running	ブラウザの起動
Brute forcer	ブルートフォース
Building GUI	GUIを構築中
Builds:	ビルド:
Built-in	組み込み
Built-in long directory list	組み込みの長いディレクトリ名一覧
Built-in long file list	組み込みの長いファイル名一覧
Built-in short directory list	組み込みの短いディレクトリ名一覧
Built-in short file list	組み込みの短いファイル名一覧
Burp Clickbandit is a tool for generating clickjacking attacks. When you have found a web page that may be vulnerable to clickjacking, you can use Burp Clickbandit to create an attack, and confirm that the vulnerability can be successfully exploited.	Burp Clickbanditは、クリックジャッキング攻撃を生成するツールです。クリックジャッキングに脆弱なWebページを発見した場合、Burp Clickbanditを使用して攻撃を作成し、脆弱性が悪用できるか確認できます。
Burp Clickbandit runs in your browser using JavaScript. It works on all modern browsers except for Microsoft IE and Edge. To run Burp Clickbandit, use the following steps:	Burp Clickbanditは、JavaScriptを使用してブラウザで実行されます。Microsoft IEとEdge以外の、すべての最新のブラウザで動作します。Burp Clickbanditを実行するには、次の手順を使用します:
Burp Collaborator Client	Burp Collaboratorクライアント
Burp Collaborator Health Check	Burp Collaboratorヘルスチェック
Burp Collaborator Server	Burp Collaboratorサーバ
Burp Collaborator client	Burp Collaboratorクライアント
Burp Collaborator is an external service that Burp can use to help discover many kinds of vulnerabilities. You can use the default Collaborator server provided by PortSwigger, or deploy your own instance. You should read the full documentation for this feature and decide which option is most appropriate for you.	Burp Collaboratorは、Burpが多くの脆弱性を発見するのに役立つ外部サービスです。PortSwiggerが提供するデフォルトのCollaboratorサーバか、自分自身のインスタンスを配備して使用できます。この機能に関する全ドキュメントを読み、最も効果的な選択を行うようにしてください。
Burp Collaborator is an external service that Burp can use to help discover many kinds of vulnerabilities. You can use the default Collaborator server provided by PortSwigger, or deploy your own instance. You should read the full documentation for this feature and decide which option is most appropriate for you.Use these options to configure your Burp Collaborator server.	Burp Collaboratorは、Burpが多くの脆弱性を発見するのに役立つ外部サービスです。PortSwiggerが提供するデフォルトのCollaboratorサーバか、自分自身のインスタンスを配備して使用できます。この機能に関する全ドキュメントを読み、最も効果的な選択を行うようにしてください。これレノオプションでBurp Collaboratorサーバを設定します。
Burp Collaborator is currently disabled. To enable it, go to 	現在Burp Collaboratorは無効です。以下で有効にできます: 
Burp Collaborator server	Burp Collaboratorサーバ
Burp Extender APIs	Burp Extender API
Burp Extensions	Burp拡張
Burp Infiltrator [Pro version only]	Burp Infiltrator [プロ版のみ]
Burp Infiltrator currently supports applications written in Java or other JVM-based languages such as Groovy. Java versions from 4 and upwards are supported.	Burp Infiltratorは現在Javaか、Groovyのようなその他のJVMベースの言語で開発されたアプリケーションをサポートします。Javaバージョン4以上をサポートします。
Burp Infiltrator is a tool for instrumenting target web applications in order to facilitate testing using Burp Scanner. Burp Infiltrator modifies the target application so that Burp can detect cases where its input is passed to potentially unsafe APIs on the server side.	Burp Infiltratorは、Burp Scannerを使用したテストを容易にするために、対象Webアプリケーションを道具化するツールです。潜在的に危険なAPIまでBurpの入力が達したかどうかをBurpが検出できるように、対象アプリケーションを変更します。
Burp Infiltrator was saved successfully as: burp_infiltrator_java.jar	Burp Infiltratorは正常に保存されました: burp_infiltrator_java.jar
Burp Logger documentation	Burp Loggerドキュメント
Burp Proxy documentation	Burp Proxyのドキュメント
Burp Proxy does not yet support issuing kettled requests, and this request will be normalized before it is issued. Please send the request to Burp Repeater if you want to issue it kettled.	Burp Proxyはまだケトルなリクエストの発行をサポートしておらず、このリクエストは発行される前に正規化されます。ケトル化して発行したい場合は、Burp Repeaterにリクエストを送信してください。
Burp Proxy options	Burp Proxyオプション
Burp Proxy uses listeners to receive incoming HTTP requests from your browser. You will need to configure your browser to use one of the listeners as its proxy server.	Burp Proxyはリスナーを使用してブラウザからHTTPリクエストを受け取ります。リスナーの1つをプロキシサーバとしてブラウザに設定する必要があります。
Burp Repeater documentation	Burp Repeaterのドキュメント
Burp Repeater help	Burp Repeaterヘルプ
Burp Scanner reporting wizard	Burp Scannerレポートウィザード
Burp Spider - Submit Form	Burp Spider - 送信フォーム
Burp Spider needs your guidance to submit a login form. Please choose the value of each form field which should be used when submitting the form, and whether Burp should iterate submission of multi-value fields. You can control how Burp handles forms in the Spider options tab.	Burp Spiderがログインフォームを送信するには、あなたの入力が必要です。送信に使用する各フォームフィールドの値と、複数の値を取るフィールドを繰り返すかどうか選択してください。Spiderオプションタブでフォームの処理方法をコントロールできます。
Burp Spider needs your guidance to submit a login form. Please choose the value of each form field which should be used when submitting the form. You can control how Burp handles forms in the Spider options tab.	Burp Spiderがログインフォームを送信するには、あなたの入力が必要です。送信に使用する各フォームフィールドの値を選択してください。Spiderオプションタブでフォームの処理方法をコントロールできます。
Burp Suite - a guided video tour	Burp Suite - ガイド付きビデオツアー
Burp Suite Community Edition	Burp Suite Community Edition
Burp Suite Documentation	Burp Suiteドキュメント
Burp Suite Professional	Burp Suite Professional
Burp Suite Support Center	Burp Suiteサポートセンター
Burp Suite diagnostics	Burp Suite診断
Burp Suite documentation	Burp Suiteドキュメント
Burp Suite is out of date	Burp Suiteが古くなっています
Burp Suite on Twitter	Burp SuiteのTwitter
Burp Suite search	Burp Suite検索
Burp Suite video tutorials	Burp Suiteビデオチュートリアル
Burp did not start properly last time.	前回Burpが正常に起動しませんでした。
Burp has not been fully tested on this platform and you may experience problems.	Burpはこのプラットフォームで十分テストされて折らず、問題が発生する可能性があります。
Burp is up to date.	Burpは最新です。
Burp license key	Burpライセンスキー
Burp maintains a cookie jar that stores all of the cookies issued by visited web sites. Session handling rules can use and update these cookies to maintain valid sessions with applications that are being tested. You can use the settings below to control how Burp automatically updates the cookie jar based on traffic from particular tools.	アクセスしたWebサイトが発行したすべてのcookieをcookie jarに保持します。テストしているアプリケーションの有効なセッションを保持するために、セッションハンドリングルールがこれらのcookieの使用や更新ができます。以下の設定で、特定のツールからのトラフィックに基づいて cookie jar を自動的に更新する方法を制御します。
Burp program executable	Burp実行プログラム
Burp will attempt to repair the project file. This will create a new project file that can be opened safely, and will preserve as much data as possible from the original file.	Burpはプロジェクトファイルの修復を試みます。これにより、安全に開ける新しいプロジェクトファイルが作成され、元のファイルからできるだけ多くのデータを保存します。
Burp will now attempt to contact the license server and activate your license. This will require Internet access. If you access the Internet via a web proxy server, please enter the details below.	ライセンスサーバに接続しライセンス認証を試みます。これにはインターネットアクセスが必要です。プロキシサーバを経由してインターネットにアクセスする場合は、以下に詳細を入力してください。
Burp's Browser	Burpブラウザ
Burp's browser	Burpブラウザ
Byte compare	バイト比較
Byte compare of #([0-9]+) and #([0-9]+)  \(([0-9]+) differences\)	#$1と#$2のバイト比較  ($3カ所の相違)
Bytes	バイト
Bytes transferred:	転送バイト数:
CA Certificate	CA証明書
CGI scripts	CGIスクリプト
CODE	コード
CSRF PoC generator	CSRF PoCジェネレータ
CSRF PoC generator documentation	CSRF PoCジェネレータのドキュメント
CSRF technique:	CSRFテクニック:
CSS injection \(reflected\)(\s+\[[0-9]+\])?	CSSインジェクション(反射型)$1
CSS injection \(stored\)(\s+\[[0-9]+\])?	CSSインジェクション(蓄積型)$1
Cacheable HTTPS response(\s+\[[0-9]+\])?	キャッシュ可能なHTTPSレスポンス$1
Caching	キャッシュ
Cancel	キャンセル
Cannot remove macro	マクロを削除できません
Cannot remove macros	マクロを削除できません
Capture Filter Settings	キャプチャフィルタ設定
Capture all	すべてをキャプチャ
Capture by MIME type	MIMEタイプによるキャプチャ
Capture by request type	リクエストタイプによるキャプチャ
Capture by search term	検索語でキャプチャ
Capture by status code	ステータスコードによるキャプチャ
Capture by tool	ツールによるキャプチャ
Capture filter settings	キャプチャフィルタ設定
Capture filter: 	キャプチャフィルタ: 
Capture filter: Please wait ...  	キャプチャフィルタ: お待ちください ...  
Capture limit	キャプチャ制限
Capture only in-scope items	スコープ内のアイテムのみキャプチャ
Capture only in-scope items (Suite scope)	スコープ内のアイテムのみキャプチャ(全体スコープ)
Capture only parameterized requests	パラメータ付きリクエストのみキャプチャ
Capture requests up to:	最大リクエストサイズ:
Capture responses up to:	最大レスポンスサイズ:
Capturing:	キャプチャ中:
Case modification	大文字小文字変換
Case modifications	変換方法
Case sensitive	大文字小文字を区別
Case sensitive match	大文字小文字を区別する
Case sensitivity:	大文字小文字の区別:
Case-sensitivity:	大文字小文字の区別:
Certain	確信
Certificate	証明書
Certificate and private key from PKCS#12 keystore	PKCS#12キーストアから証明書と秘密鍵
Certificate and private key in DER format	DER形式の証明書と秘密鍵
Certificate and private key in PKCS#12 keystore	PKCS#12キーストアの証明書と秘密鍵
Certificate file:	証明書ファイル:
Certificate in DER format	DER形式の証明書
Certificate type:	証明書タイプ:
Change body encoding	ボディのエンコーディング変更
Change font ...	フォント変更 ...
Change options	オプション変更
Change parameter locations (causes many more scan requests):	パラメータ位置の変更(大量のスキャンリクエストが発生します):
Change request method	リクエストメソッド変更
Change the font used to display HTTP messages	HTTPメッセージの表示に使用するフォントを変更
Change...	変更...
Changes type (different status code or content type)	タイプ変更(ステータスコードやコンテントタイプの変更)
Changes will take effect when Burp is restarted.	変更は再起動後に反映されます。
Channel:	チャネル:
Character Count Analysis - Significance Levels	文字数分析 - 有意水準
Character Set	文字セット
Character Sets	文字セット
Character Transition Analysis - Significance Levels	文字遷移分析 - 有意水準
Character blocks	文字ブロック
Character frobber	文字フロバー
Character set	文字セット
Character set:	文字セット:
Character sets	文字セット
Character substitution	文字置換
Character substitutions	文字置換
Character-level analysis	文字レベル分析
Check for updates	更新チェック
Check robots.txt	robots.txtをチェックする
Check session is valid	セッションの有効性をチェックする
Check whether another service is already using this port.	別のサービスが既にこのポートを使用していないか確認してください。
Checking for available installers	利用可能なインストーラをチェック中
Checking for updates	更新を確認中
Choose a PKCS#12 file	PKCS#12ファイルを選択してください
Choose a file to export the CA certificate.	CA証明書をエクスポートするファイルを選択してください。
Choose a file to export the certificate and private key, and a password to use for the keystore. 	証明書と秘密鍵をエクスポートするファイルを選択し、キーストアに設定するパスワードを入力してください。 
Choose a file to export the private key. 	秘密鍵をエクスポートするファイルを選択してください。 
Choose a file to paste from	貼り付け元のファイルを選択してください
Choose a file to save the configuration to	設定を保存するファイルを選択してください
Choose a file to save to	保存するファイルを選択してください
Choose a log file	ログファイルを選択してください
Choose a preset scheme	定義済み形式を選択
Choose an attack to open	開く攻撃を選択してください
Choose an attack type	攻撃タイプの選択
Choose an empty directory to save responses to	レスポンスを保存する空のディレクトリを選択してください。
Choose file...	ファイル選択...
Choose folder ...	フォルダ選択 ...
Choose predefined task...	 定義済みタスクを選択...
Choose the PKCS#11 library file	PKCS#11ライブラリファイルを選択してください
Choose the folder where temporary files will be saved	一時ファイルが保存されるフォルダを選択
Choose the format for the report.	レポートのフォーマットを選択してください。
Choose the tools whose data you want to be included in the new project file and whether you only want to save in-scope items.	新規プロジェクトファイルに含めるツールのデータと、スコープ内のアイテムのみ保存するかどうかを選択してください。
Choose the tools whose data you want to import from the project file.	プロジェクトファイルからデータをインポートするツールを選択してください。
Choose this option if you plan to load the state file later and continue testing, or pass it on to someone else who will take over your testing. You should be aware that if any testing is continued using multiple instances of Burp, then some Collaborator-based issues may be missed or incorrectly reported.	後でこのステートファイルを読み込んでテストを継続するか、テストを引き継ぐ他の誰かに渡す場合、このオプションを選択してください。複数のBurpインスタンスでテストを継続する場合、Collaboratorベースの問題を見逃す、または誤って報告されるかもしれません。
Choose this option if you plan to pass the project file on to someone else, but you do not want them to be able to receive details of any ongoing Burp Collaborator interactions that are associated with your testing. Any new scanning that is performed by the other user will use a different unique identifier, to avoid any interference with other instances of Burp.	プロジェクトファイルを他人に渡す予定があり、しかしテストに関連づけらたCollaboratorとの通信の詳細を継続的に受信させたくない場合に、このオプションを選択してください。実行する新たなスキャンでは異なる一意な識別子を使用し、他のBurpインスタンスとの干渉を避けます。
Choose this option if you plan to pass the state file on to someone else, but you do not want them to be able to receive details of any ongoing Burp Collaborator interactions that are associated with your testing. Any new scanning that is performed by the other user will use a different unique identifier, to avoid any interference with other instances of Burp.	ステートファイルを他人に渡す予定があり、しかしテストに関連づけらたCollaboratorとの通信の詳細を継続的に受信させたくない場合に、このオプションを選択してください。実行する新たなスキャンでは異なる一意な識別子を使用し、他のBurpインスタンスとの干渉を避けます。
Choose this option if you plan to use the project file later and continue testing, or pass it on to someone else who will take over your testing. You should be aware that if any testing is continued using multiple instances of Burp, then some Collaborator-based issues may be missed or incorrectly reported.	後でこのプロジェクトファイルを読み込んでテストを継続するか、テストを引き継ぐ他の誰かに渡す場合、このオプションを選択してください。複数のBurpインスタンスでテストを継続する場合、Collaboratorベースの問題を見逃す、または誤って報告されるかもしれません。
Choose whether the Inspector panel is docked to the left or right of the message editor and whether it is expanded	Inspectorパネルをメッセージエディタの左または右に配置するか、および展開するかどうかを選択します。
Choose whether to configure login credentials or recorded login sequences. You can configure multiple logins to scan in different user contexts.	ログイン認証情報を設定するか、記録されたログインシーケンスを設定するか、選択します。複数のログインを設定すると異なるユーザーコンテキストでスキャンできます。
Choose which tools you want to restore the configuration of.	設定をリストアするツールを選択してください。
Choose which tools you want to restore the state of.	ステートをリストアするツールを選択してください。
Choose which tools you want to save the configuration of.	設定を保存するツールを選択してください。
Choose which tools you want to save the state of. Note that it is not necessary to save the Spider state. The Spider request queues will be automatically rebuilt based on a restored target site map and scope configuration.	ステートに保存するツールを選択してください。Spiderのステートを保存する必要がない点に注意してください。Spiderのリクエストキューは、リストアしたターゲットのサイトマップやスコープ設定から自動的に再構築されます。
Choosing this option means that your instance of Burp will not receive details of any ongoing Burp Collaborator interactions that were associated with the project. Any new scanning that you perform will use a different unique identifier, to avoid any interference with other instances of Burp.	このオプションを選択すると、プロジェクトに関連づけられている進行中のBurp Collaboratorとの通信の詳細を、このBurpインスタンスが受信しないことになります。実行する新たなスキャンでは異なる一意な識別子を使用し、他のBurpインスタンスとの干渉を避けます。
Choosing this option means that your instance of Burp will receive details of any ongoing Burp Collaborator interactions that are associated with the project. If any other instance of Burp is also receiving interaction details for the same project, then some Collaborator-based issues may be missed or incorrectly reported.	このオプションを選択すると、プロジェクトに関連づけられている進行中のBurp Collaboratorとの通信の詳細を、このBurpインスタンスが受信します。他のBurpインスタンスも同じプロジェクトの通信詳細を受信していると、Collaboratorベースの問題を見逃す、または誤って報告されるかもしれません。
Cipher	暗号
Clean Burp from computer	コンピュータからBurpを削除
Clear	クリア
Clear all	すべてクリア
Clear all items and separators from all positions	すべてのポジションからアイテムとセパレータをクリア
Clear all payload markers	すべてのペイロードマーカをクリア
Clear all text and payload markers	すべてのテキストとペイロードマーカをクリア
Clear event log	イベントログをクリア
Clear histories	履歴クリア
Clear history	履歴クリア
Clear log	ログをクリア
Clear logs	ログをクリア
Clear queues	キューをクリア
Clear the contents of the viewer	ビューアのコンテンツをクリア
Clear §	§クリア
Cleartext submission of password(\s+\[[0-9]+\])?	パスワードの平文送信$1
Click "Copy to clipboard" to generate Burp Collaborator payloads that you can use in your own testing. Any interactions that result from using the payloads will appear below.	"クリップボードにコピー"をクリックすると、独自のテストで使用できるBurp Collaboratorのペイロードを生成できます。そのペイロードを使用した結果の通信は、下に表示されます。
Click the stars to rate the '(.*)' BApp	$1 BAppの評価に星をクリックしてください
Click to modify	クリックして変更
Click to render page	クリックしてページをレンダリング
Client SSL Certificate	クライアントSSL証明書
Client SSL Certificates	クライアントSSL証明書
Client SSL certificate (PKCS#12)	クライアントSSL証明書 (PKCS#12)
Client TLS Certificate	クライアントTLS証明書
Client TLS Certificates	クライアントTLS証明書
Client TLS certificate (PKCS#12)	クライアントTLS証明書 (PKCS#12)
Client TLS certificates	クライアントTLS証明書
Client-side	クライアント側
Client-side HTTP parameter pollution \(reflected\)(\s+\[[0-9]+\])?	クライアント側HTTPパラメータ汚染(反射型)$1
Client-side HTTP parameter pollution \(stored\)(\s+\[[0-9]+\])?	クライアント側HTTPパラメータ汚染(蓄積型)$1
Client-side JSON injection \(DOM-based\)(\s+\[[0-9]+\])?	クライアント側JSONインジェクション(DOMベース)$1
Client-side JSON injection \(reflected DOM-based\)(\s+\[[0-9]+\])?	クライアント側JSONインジェクション(反射型DOMベース)$1
Client-side JSON injection \(stored DOM-based\)(\s+\[[0-9]+\])?	クライアント側JSONインジェクション(蓄積型DOMベース)$1
Client-side SQL injection \(DOM-based\)(\s+\[[0-9]+\])?	クライアント側SQLインジェクション(DOMベース)$1
Client-side SQL injection \(reflected DOM-based\)(\s+\[[0-9]+\])?	クライアント側SQLインジェクション(反射型DOMベース)$1
Client-side SQL injection \(stored DOM-based\)(\s+\[[0-9]+\])?	クライアンサイドSQLインジェクション(蓄積型DOMベース)$1
